"zip","id","formattedAddress","addressLine1","addressLine2","city","state","zipCode","county","latitude","longitude","propertyType","listingType","bedrooms","bathrooms","squareFootage","lotSize","yearBuilt","hoa.fee","status","price","listedDate","removedDate","daysOnMarket"
"1","2591-Roberts-Ct,-Hilliard,-OH-43026","2591 Roberts Ct, Hilliard, OH 43026","2591 Roberts Ct",NA,"Hilliard","OH","43026","Franklin",40.0053,-83.143,"Condo",NA,2,2,1237,NA,NA,NA,"Inactive",204500,"2022-01-26T11:50:22.162Z","2022-08-09T20:47:40.387Z",196
"1","2418-Crystal-Springs-Dr,-Unit-2418,-Hilliard,-OH-43026","2418 Crystal Springs Dr, Unit 2418, Hilliard, OH 43026","2418 Crystal Springs Dr","Unit 2418","Hilliard","OH","43026","Franklin",39.9998,-83.1475,"Condo",NA,2,2,986,NA,NA,NA,"Inactive",175000,"2022-01-18T10:28:27.320Z","2022-08-09T20:47:40.387Z",204
"1","5602-Eventing-Way,-Hilliard,-OH-43026","5602 Eventing Way, Hilliard, OH 43026","5602 Eventing Way",NA,"Hilliard","OH","43026","Franklin",40.0533,-83.168,"Condo",NA,2,2.5,2929,NA,NA,NA,"Inactive",559900,"2022-01-14T12:55:12.009Z","2022-08-09T20:44:48.750Z",208
"1","4355-Oakbury-Ct,-Hilliard,-OH-43026","4355 Oakbury Ct, Hilliard, OH 43026","4355 Oakbury Ct",NA,"Hilliard","OH","43026","Franklin",40.0407,-83.1565,"Single Family",NA,4,2.5,2462,NA,NA,NA,"Inactive",397900,"2021-12-28T12:42:41.423Z","2022-08-09T20:44:48.750Z",225
"1","5655-Jennybrook-Ln,-Hilliard,-OH-43026","5655 Jennybrook Ln, Hilliard, OH 43026","5655 Jennybrook Ln",NA,"Hilliard","OH","43026","Franklin",40.0125,-83.1639,"Single Family",NA,4,2.5,2076,NA,NA,NA,"Inactive",365000,"2022-01-28T12:17:43.227Z","2022-08-09T20:44:48.750Z",194
"1","5394-W-Carina-Ct,-Hilliard,-OH-43026","5394 W Carina Ct, Hilliard, OH 43026","5394 W Carina Ct",NA,"Hilliard","OH","43026","Franklin",40.0487,-83.1647,"Single Family",NA,5,3.5,2874,NA,NA,NA,"Inactive",349900,"2022-02-27T12:00:10.332Z","2022-08-09T20:44:48.750Z",164
"1","4655-Jeannette-Rd,-Hilliard,-OH-43026","4655 Jeannette Rd, Hilliard, OH 43026","4655 Jeannette Rd",NA,"Hilliard","OH","43026","Franklin",40.0256,-83.1393,"Single Family",NA,3,2,1404,NA,NA,NA,"Inactive",254900,"2021-11-26T15:46:33.870Z","2022-08-09T20:44:48.750Z",257
"1","2492-Mesa-Dr,-Hilliard,-OH-43026","2492 Mesa Dr, Hilliard, OH 43026","2492 Mesa Dr",NA,"Hilliard","OH","43026","Franklin",40.0022,-83.1602,"Single Family",NA,3,2.5,1855,NA,NA,NA,"Inactive",324900,"2022-01-18T12:45:00.672Z","2022-08-09T20:39:17.002Z",204
"1","5051-Calhoon-Dr,-Hilliard,-OH-43026","5051 Calhoon Dr, Hilliard, OH 43026","5051 Calhoon Dr",NA,"Hilliard","OH","43026","Franklin",40.0082,-83.1438,"Single Family",NA,3,2,1209,NA,NA,NA,"Inactive",270000,"2022-01-22T12:26:03.564Z","2022-08-09T20:39:17.002Z",200
"1","4983-Singleton-Dr,-Unit-20B,-Hilliard,-OH-43026","4983 Singleton Dr, Unit 20B, Hilliard, OH 43026","4983 Singleton Dr","Unit 20B","Hilliard","OH","43026","Franklin",40.01,-83.1426,"Condo",NA,2,1.5,1250,NA,NA,NA,"Inactive",158400,"2022-02-11T09:04:10.298Z","2022-08-09T20:39:17.002Z",180
"1","5695-Elm-Grove-Ct,-Hilliard,-OH-43026","5695 Elm Grove Ct, Hilliard, OH 43026","5695 Elm Grove Ct",NA,"Hilliard","OH","43026","Franklin",40.0101,-83.1644,"Single Family",NA,4,NA,3008,NA,NA,NA,"Inactive",370000,"2022-01-14T12:35:55.616Z","2022-08-09T20:37:53.304Z",208
"1","2228-Yagger-Bay-Dr,-Hilliard,-OH-43026","2228 Yagger Bay Dr, Hilliard, OH 43026","2228 Yagger Bay Dr",NA,"Hilliard","OH","43026","Franklin",39.9976,-83.1456,"Single Family",NA,3,2,1450,NA,NA,NA,"Inactive",275000,"2022-01-19T12:12:32.750Z","2022-08-09T20:37:53.304Z",203
"1","5790-Lonerise-Ln,-Hilliard,-OH-43026","5790 Lonerise Ln, Hilliard, OH 43026","5790 Lonerise Ln",NA,"Hilliard","OH","43026","Franklin",39.9922,-83.1623,"Single Family",NA,3,2.5,1729,NA,NA,NA,"Inactive",295900,"2022-02-19T13:07:31.044Z","2022-08-09T20:31:53.537Z",172
