"zip","id","formattedAddress","addressLine1","addressLine2","city","state","zipCode","county","latitude","longitude","propertyType","listingType","bedrooms","bathrooms","squareFootage","lotSize","yearBuilt","status","price","listedDate","removedDate","daysOnMarket"
"1","5157-Scioto-Darby-Rd,-Unit-1,-Hilliard,-OH-43026","5157 Scioto Darby Rd, Unit 1, Hilliard, OH 43026","5157 Scioto Darby Rd","Unit 1","Hilliard","OH","43026","Franklin",40.025,-83.1533,"Apartment",NA,3,1,1056,NA,NA,"Inactive",1675,"2022-12-06T00:59:58.000Z","2023-01-28T00:00:00.000Z",53
"1","2367-Walborn-Dr,-Columbus,-OH-43026","2367 Walborn Dr, Columbus, OH 43026","2367 Walborn Dr",NA,"Columbus","OH","43026","Franklin",40,-83.1612,"Single Family",NA,4,2.5,2235,NA,NA,"Inactive",2300,"2023-01-17T06:38:11.000Z","2023-01-27T00:00:00.000Z",10
"1","5377-Crescent-Dr,-Hilliard,-OH-43026","5377 Crescent Dr, Hilliard, OH 43026","5377 Crescent Dr",NA,"Hilliard","OH","43026","Franklin",40.0429,-83.1627,"Single Family",NA,3,1,960,NA,NA,"Inactive",1295,"2021-05-11T01:21:44.814Z","2023-01-26T00:00:00.000Z",625
"1","5132-Aurora-Dr,-Hilliard,-OH-43026","5132 Aurora Dr, Hilliard, OH 43026","5132 Aurora Dr",NA,"Hilliard","OH","43026","Franklin",40.0178,-83.1499,"Single Family",NA,4,3,1750,NA,NA,"Inactive",2550,"2022-12-29T20:03:38.000Z","2023-01-26T00:00:00.000Z",28
"1","2367-Walborn-Dr,-Hilliard,-OH-43026","2367 Walborn Dr, Hilliard, OH 43026","2367 Walborn Dr",NA,"Hilliard","OH","43026","Franklin",40,-83.1612,"Single Family",NA,4,2.5,2235,NA,NA,"Inactive",2300,"2023-01-16T23:04:09.000Z","2023-01-26T00:00:00.000Z",10
"1","1812-Messner-Dr,-Unit-1,-Columbus,-OH-43026","1812 Messner Dr, Unit 1, Columbus, OH 43026","1812 Messner Dr","Unit 1","Columbus","OH","43026","Franklin",39.9875,-83.1575,"Townhouse",NA,2,2.5,1024,NA,NA,"Inactive",1695,"2022-12-07T01:15:06.000Z","2023-01-25T04:50:13.757Z",50
"1","1724-Messner-Dr,-Unit-152D,-Hilliard,-OH-43026","1724 Messner Dr, Unit 152D, Hilliard, OH 43026","1724 Messner Dr","Unit 152D","Hilliard","OH","43026","Franklin",39.985,-83.1577,"Townhouse",NA,2,2,1100,436,1995,"Inactive",1795,"2022-11-20T02:03:21.000Z","2023-01-24T03:48:17.938Z",66
"1","4668-Jeannette-Rd,-Hilliard,-OH-43026","4668 Jeannette Rd, Hilliard, OH 43026","4668 Jeannette Rd",NA,"Hilliard","OH","43026","Franklin",40.0261,-83.1402,"Townhouse",NA,2,1.5,6137,14375,1985,"Inactive",1200,"2022-12-11T01:28:43.000Z","2023-01-20T03:48:26.417Z",41
"1","5847-Privilege-Dr,-Hilliard,-OH-43026","5847 Privilege Dr, Hilliard, OH 43026","5847 Privilege Dr",NA,"Hilliard","OH","43026","Franklin",40.0172,-83.1722,"Single Family",NA,3,3,1461,NA,NA,"Inactive",2205,"2022-12-29T17:03:59.000Z","2023-01-17T03:48:14.358Z",19
"1","5095-Singleton-Dr,-Columbus,-OH-43026","5095 Singleton Dr, Columbus, OH 43026","5095 Singleton Dr",NA,"Columbus","OH","43026","Franklin",40.0098,-83.1449,"Single Family",NA,2,1.5,832,NA,NA,"Inactive",1550,"2022-09-30T18:52:42.000Z","2023-01-13T03:47:11.925Z",105
"1","5793-Brinkwater-Blvd,-Hilliard,-OH-43026","5793 Brinkwater Blvd, Hilliard, OH 43026","5793 Brinkwater Blvd",NA,"Hilliard","OH","43026","Franklin",39.9926,-83.1624,"Single Family",NA,3,2,NA,NA,2002,"Inactive",1595,"2022-09-20T02:47:56.962Z","2023-01-09T03:43:02.450Z",112
"1","4674-Leap-Ct,-Hilliard,-OH-43026","4674 Leap Ct, Hilliard, OH 43026","4674 Leap Ct",NA,"Hilliard","OH","43026","Franklin",40.0341,-83.1418,"Apartment",NA,NA,1,NA,NA,1986,"Inactive",875,"2021-09-16T23:39:33.000Z","2023-01-06T03:44:32.100Z",477
"1","6631-Tanager-Ln,-Hilliard,-OH-43026","6631 Tanager Ln, Hilliard, OH 43026","6631 Tanager Ln",NA,"Hilliard","OH","43026","Franklin",40.0167,-83.1945,"Apartment",NA,0,1,NA,NA,2017,"Inactive",1067,"2021-09-16T23:39:33.000Z","2023-01-06T03:44:32.100Z",477
"1","2767-Hickory-Mill-Dr,-Hilliard,-OH-43026","2767 Hickory Mill Dr, Hilliard, OH 43026","2767 Hickory Mill Dr",NA,"Hilliard","OH","43026","Franklin",40.0046,-83.1574,"Apartment",NA,1,1,NA,NA,1980,"Inactive",809,"2021-12-10T02:20:45.000Z","2023-01-06T03:43:32.164Z",393
